番号,1214
名前,마린세스 파스카루스
呼び名,파스카루스

;BASE
基礎,0,1200 ;体力、攻撃力
基礎,1,2000 ;気力、守備力
基礎,5,1500 ;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足

;基本的には0または未記入で未所持、1で所持
;邪魔な部分は消してしまって構わない（女性キャラクターの童貞など）

;Talent
素質,0,1    ;処女（1= 処女 2=再生処女）
素質,2,1    ;性別,(1=女性器 2=男性器 3=ふたなり)
素質,7,1    ;キス未経験
素質,10,1   ;度胸（-1=臆病 1=気丈）
素質,11,-1   ;態度（-1=素直 1=反抗的）
素質,33,-1   ;羞恥心（-1=恥薄い 1=恥じらい）
素質,41,1   ;濡れやすさ（-1=濡れにくい 1=濡れやすい）
素質,50,1   ;習得（-1=習得遅い 1=習得早い）
素質,61,-1   ;汚臭耐性（-2=潔癖症 -1=汚臭敏感 1=汚臭鈍感 2=汚れ無視）
素質,62,1   ;献身的
素質,70,1   ;快感応答（-1=快感の否定 1=快感に素直）
素質,71,1   ;中毒しやすい
素質,81,-1   ;性別嗜好（-1=両刀 1= 男嫌い 2=女嫌い 3=人間不信）
素質,101,1  ;Ｃ感度（-1=鈍感 1=敏感）
素質,102,1  ;Ｖ感度
素質,103,-1  ;Ａ感度
素質,117,0  ;年齢（-2=子供 -1=学生 0=若者 1=大人 2=熟年）
素質,121,1  ;バストサイズ（-3=虚胸 -2=絶壁 -1=貧乳 0=並乳 1=巨乳 2=爆乳 3=ウシ乳）
素質,130,1  ;回復速度（-1=回復遅い 1=回復早い）
素質,138,1  ;不思議な根、助手化の際にふたなりになる モチーフ元のハナダイが♀→♂に性転換する
素質,190,4 ;属性（1=光 2=闇 3=地 4=水 5=炎 6=風 7=神）
素質,191,15 ;種族
            ;1=魔法使い族   2=ドラゴン族    3=アンデット族
            ;4=戦士族       5=機械族        6=獣族
            ;7=鳥獣族       8=鱗獣族        9=悪魔族
            ;10=天使族      11=昆虫族       12=元素霊族
            ;13=植物族      14=サイキック族 15=サイバース族
            ;16=海生族      17=未確認族	    18=
            ;19=            20=幻神獣族

;ABL
能力,0,2    ;Ｃ感覚
能力,1,1    ;Ｖ感覚
能力,9,2    ;親密
能力,10,2   ;従順
能力,11,2   ;欲望
能力,12,2   ;技巧
能力,13,1   ;奉仕精神
能力,14,1   ;露出壁
能力,17,1  ;レズっ気
能力,40,1   ;清掃技能
能力,41,2   ;話術技能
能力,42,1   ;身体能力
能力,43,2   ;教養

;FLAG
フラグ,7,182;服装
フラグ,311,100;開始位置,これは変えない
