

0,사정대상플래그
;,0=TARGET
;,1=PLAYER
;,2=MASTER
;,3=ASSI

2,사정부위플래그
;, 1=질내
;, 2=애널
;, 3=수음
;, 4=펠라
;, 5=파이즈리
;, 6=스마타
;, 7=풋잡
;, 8=体表
;, 9=애널봉사
;,10=道具
;,11=촉수

3,콘돔

4,사정쾌락강도
5,사정대상캐릭터_1
6,사정대상캐릭터_2
7,사정대상캐릭터_3

9,청소플래그
10,사정한플래그
11,사정한부위플래그

13,콘돔
15,파과
17,Ａ파과

20,CT행동
21,CT파생
22,하반신탈의행동
23,TARGET자신의하반신탈의행동
24,상반신탈의행동
25,TARGET자신의상반신탈의행동
26,마스터카운터제어
27,TARGET자세변경용
30,카운터행동결정플래그

40,고통각인취득
41,쾌락각인취득
42,굴복각인취득
43,반발각인취득
44,반발각인취득억제
45,바람쾌락각인취득
46,바람굴복각인취득


50,구상출력용사정부위
60,표시컷
70,기분나쁨
71,쾌락강도


100,V삽입관리플래그
101,A삽입관리플래그
102,질내사정플래그
103,질내사정대상
104,애널사정플래그
105,애널사정대상

107,갈것같음

110,사정한플래그보존
112,사정한부위보존

115,발기판정
120,자세
121,자세제어
122,위치관계
123,위치관계제어

130,친밀감
131,말하는대로
132,듀얼패배섹스

145,만취

160,전턴절정
161,연속절정기록
162,절정여운

165,전CT행동

180,전회절정부위
;, 1=C
;, 2=V
;, 3=A
;, 4=B
;, 5=M
181,전회절정보존
182,도게자중
250,질내사정횟수
302,대화가능여부
303,접촉가능여부
307,식사가능여부
;Anonym추가,
308,선물가능여부
;新規추가,
310,무릎베개일시
350,질내정액량
400,Ｃ경험
401,Ｖ경험
402,Ａ경험
403,Ｂ경험
404,Ｍ경험
406,Ｃ절정경험
407,Ｖ절정경험
408,Ａ절정경험
409,Ｂ절정경험
490,Ｍ절정경험
;절정경험,
410,절정경험
411,사정경험
412,분유경험
413,방뇨경험
414,정액경험
415,정음경험
;행동경험,
420,Ｖ성교경험
421,Ａ성교경험
422,자위경험
423,조교자위경험
424,수음경험
425,펠라경험
426,파이즈리경험
427,키스경험
428,도구사용경험
;精神경험,
440,봉사쾌락경험
441,애정경험
442,고통쾌락경험
443,가학쾌락경험
;조교경험,
450,조교경험
451,레즈경험
452,게이경험
453,이상경험
454,Ｖ확장경험
455,Ａ확장경험
456,긴박경험
;その他,
470,청소경험
471,대화경험
472,촬영경험
473,피사경험
474,운동경험
;CUP変換用,
