;0番台,０．애무계커맨드
0,애무
1,커닐링구스
2,펠라한다
3,손가락 넣기
4,애널 핥기
5,애널애무
6,가슴애무
7,유두자극
8,조개 벌리기
9,자위
10,자위한다
11,유두빨기

;20番台,１．コミュニケーション계커맨드
20,키스한다
21,아무것도 안한다

;40番台,２．도구사용コマンド
40,로터
41,전기마사지
42,클리캡
43,오나홀
44,바이브
45,애널바이브
46,애널비즈
47,니플캡
48,착유기
49,유두로터
50,콘돔 장착
51,배에 마사지기
52,큰 거울을 꺼낸다
53,딜도
54,오나홀 요정
55,로터삽입

60,정상위
61,후배위
62,정상위애널
63,후배위애널
64,역 레이프
65,기승위
66,기승위애널
67,대면좌위
68,배면좌위
69,대면좌위애널
70,배면좌위애널
;71,두 구멍 넣기

80,수음
81,펠라치오
82,파이즈리
83,스마타
84,거품춤
85,풋잡
86,스쿼트
90,애널애무 받는다
91,애널 핥기 받는다
92,Ａ정상위 받는다
93,Ａ후배위 받는다
94,Ａ기승위 한다

100,스팽킹
101,채찍
102,양초
103,바늘
104,아이마스크
105,밧줄
106,볼개그
108,젖스팽킹
110,도게자 시킨다
111,밟는다
112,애태운다

120,커닐링구스 강제
121,조개 맞대기
;122,조수를 범하게한다
123,풋잡한다

126,서로 가슴만지기

140,이라마치오
141,피스트 퍽
142,애널피스트
143,두구멍피스트
144,방뇨
145,애널봉사
146,관장
147,확장벌룬
148,애널전극
150,사지를 떼어낸다
151,뿔을 깎는다
152,육변기로 만든다
153,쇼핑 보낸다
154,리미터해제

180,로션
181,미약
182,이뇨제
183,비디오촬영
;184,야외플레이
;185,조수를 범한다
;186,수치플레이
;187,목욕탕플레이
188,샤워
189,새댁플레이

200,상반신겉옷탈의
201,하반신겉옷탈의
202,상반신속옷탈의
203,하반신속옷탈의
204,속옷바람으로 한다
205,알몸으로 한다


211,모자1을 벗긴다
212,모자2를 벗긴다
213,신발을 벗긴다
214,양말을 벗긴다
215,EQ:05를 벗긴다
216,속옷을 벗긴다
217,바지를 벗긴다
218,치마를 벗긴다
219,치마를 벗긴다
220,브라자를 벗긴다
222,외투를 벗긴다
223,이너를 벗긴다

225,원피스를 벗긴다
226,악세1을 벗긴다
227,악세2를 벗긴다
228,악세3을 벗긴다



300,대화
301,차를 끓인다
302,스킨십
303,사과한다

305,무릎베개 해준다
306,배를 쓰다듬는다


309,머리를 쓰다듬는다

310,엉덩이를 쓰다듬는다
311,포옹한다
312,키스한다
313,가슴애무
314,애널애무
315,클리애무
316,손가락 넣기
317,로터삽입한다
318,리모트로터

332,술을 권한다
336,무릎베개 받는다

340,사타구니를 맡게한다
341,몸을 핥게한다

350,밀어넘어뜨린다
351,데리고 나간다
352,고백한다
;353,용서를 구한다
354,반지를 건네준다
356,그늘로 꼬신다


360,되는대로
361,수면간한다
362,도망친다
370,정신조작
371,빙의한다


381,에너콘 발동

400,이동
401,컬렉션
402,취침
403,휴식
404,엿본다
409,모두를 부른다
410,청소
411,몸을 단련한다
412,공부
413,요리
414,식사
415,식사를 권한다
416,게임을 한다
;Anonym추가(コマンド이동),
417,카드를 선물
418,영화를 본다


420,돌고래AI와 대화한다
421,갈아입는다
425,냉장고를 확인한다
426,공중목욕탕에 들어간다


430,의뢰를 받는다
431,의뢰실행
432,의뢰처로 향한다
433,시설 이벤트


434,낮 휴식
435,귀가한다
444,대전상대를 찾는다
445,카페에서 쉰다

450,소환/전화

455,알바시킨다
456,듀얼리스트 사전
457,지인 서치
458,상대를 귀환시킨다


460,외출
461,게임을 산다
462,슈퍼를 들른다
463,옷가게를 보러간다
464,편의점
465,일하러간다
466,일
467,일 휴식
468,알바한다

470,카드를 산다
471,소원빌기
472,집을 방문한다
475,진찰을 받는다


480,듀얼
490,덱편집

491,TEST

;501,식스나인
;502,이와시미즈
;503,G스팟 자극
;504,흐트러진 모란
;505,수음펠라
;506,삽입Ｇ스팟 자극
;507,삽입 자궁구 자극
;508,６９파이즈리
;509,더블펠라
;510,더블스마타
;511,더블파이즈리
;512,파이즈리펠라
;513,상호삽입


600,산책한다
601,전철로 이동
610,차원여행
605,집으로 초대한다
617,디저트카페로 초대한다
