
1,기정사실
    ;(ビット0=告白成功,1=우후후)
2,호감도
3,이상경험
    ;（ビット0=公開자위,1=처녀騎上位,2=사중절정,3=처녀바이브,4=助手の처녀を奪う,5=확장,6=野外방뇨,7=排泄,8=電極,9=두 구멍 넣기,10=처녀に역 레이프）
4,임신플래그
5,캐릭터넘기기번호
6,태도
    ;(1=ソフト카운터,セクハラ解禁,2=ウフフ解禁)
7,지금복장
;(1=男装,2=女　装,101=미령,102=소악마…　100+NOで캐릭터私服)
8,복장패턴B;オプション(ビット0=ノーパン,1=ノーブラ,2=)

10,약점취득
    ;(ビット,1=팬티没収,2=情事を見られた)
11,약점장악

12,데이트중
13,데이트후이벤트플래그
15,로터삽입
16,로터A삽입


18,면식

20,성욕

24,알바중
25,아르바이트
26,용돈줌
27,일했음
28,방문했음
29,인사했음

30,초기복장
40,내기플래그

50,지방

60,변기화
61,만취강간

70,설정덱
71,초기설정덱

80,감기플래그
81,약먹었다

;新規추가
230,소유함
235,전화번호
237,좋아하는술



240,패배함

251,HIT아기씨
252,ECE임신플래그
253,임신경과

255,모친종
256,부친종


;플래그用
;280,질내사정플래그
;281,질내사정캐릭터
    ;番号
;282,애널내사정플래그
;283,애널내사정캐릭터
    ;番号
284,발기도
285,발기도２
286,축적
287,함몰개방

290,연모제한
291,데이트이벤트함

295,키스상실기념일
296,키스상실상대
297,키스상실장소
298,첫키스시츄
;1 コントロール奪取접촉조교 2 通常접촉조교 3 体を賭けた듀얼に負けた 4 あなたが押し倒され中 5 정신조작コマンドの影響下 6 발정중の접촉조교 7 裏ショップに売られた 아로마とかの強姦系이벤트우후후とか



300,현재위치
301,전턴위치
311,시작위치
313,수면
314,기상시간
315,취침시간
316,쇠약
317,우후후
318,극대노
319,같은방
320,동행
321,유폐
322,기분나쁨
323,목욕
324,정사목격
325,접촉조교중
329,동행준비
330,카드화됨
331,애처도시락
332,조르기허가

340,최면상태
350,처녀버린상대
351,동정버린상대
352,처녀버린시츄
;1 コントロール奪取접촉조교 2 通常접촉조교 3 体を賭けた듀얼に負けた 4 あなたが押し倒され中 5 정신조작コマンドの影響下 6 발정중の접촉조교 7 裏ショップに売られた 아로마とかの強姦系이벤트우후후とか
353,처녀버린시연모
;1 연모なし 2 연모 3 親愛
354,발정중

360,빙의중
361,막대구현화
362,질구현화
363,추가가슴사이즈
364,유선폭주
365,현재냉정

370,사진플래그

380,ALT그림
381,그래픽설정
382,얼굴화상표시

401,체력기력AWS
402,가슴초기치
403,엉덩이초기치

405,원래체형
410,저장모유량
411,가슴성장
412,엉덩이성장

420,신장초기치
421,몸무게초기치



450,얼굴그래픽설정
451,문자색설정
452,커스텀얼굴

560,성격경향
561,자동신음

600,구상설정
601,개인구상무효

;덱설정(700～760をメイン、770～790)
700,개편덱존재
729,개편덱확인


