番号,5505,
名前,앨리스 마가트로이드,
呼び名,앨리스,
;BASE
基礎,체력,1500
基礎,기력,1200
基礎,5,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족
;Talent
素質,처녀,1
素質,성별,1
素質,키스미경험,1;키스미경험
素質,프라이드,1;프라이드高い
素質,태도,1;反抗的
素質,양기／음기,1;陽気
素質,성적흥미,1;好奇心
素質,습득속도,1;習得早い
素質,조합지식,1
素質,쾌감반응,1;쾌감に素直
素質,도착적,1
素質,자위하기쉬움,1
素質,중독되기쉬움,1

素質,체형,0
素質,가슴사이즈,0;貧乳
素質,Ｃ감도,1;Ｃ敏感
素質,Ｂ감도,1;Ｂ敏感
素質,연령,-1;연령

素質,속성,1;光
素質,종족,1;마법사족

;ABL
能力,0,1;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,1;B감각
能力,9,2;친밀
能力,10,1;순종
能力,11,1;욕망
能力,12,0;기교
能力,13,1;봉사정신
能力,14,0;노출壁
能力,15,0;マゾ끼
能力,16,0;새드끼
能力,17,1;레즈끼
能力,40,0;清掃技能
能力,41,2;화술기능
能力,42,2;신체능력
能力,43,1;교양
能力,44,2;요리기능

;EXP

;FLAG
フラグ,7,127;服装
フラグ,311,100;開始位置

CSTR,등장작품,동방Project
